=== МЕТАДАННЫЕ ===
stream_name: NeuronSpectrum 11.03.2026 12:39:12
sampling_rate: 500.0
n_channels: 20
active_channels: 20
total_samples: 8120
timestamp: 2026-03-11_12-39-33
window_seconds: 0.2

=== ДАННЫЕ ЭЭГ ===
Сэмпл,FP1,FP2,F3,F4,C3,C4,P3,P4,O1,O2,F7,F8,T3,T4,T5,T6,FZ,CZ,PZ,Ch 20
0,-10.987071,-45.296001,21.832756,-18.728462,74.433205,-52.271442,52.500370,-26.415222,50.225624,-88.504677,27.017414,-86.547134,18.807808,-3.022435,-31.066465,37.275867,-3.199455,39.171684,-36.582096,-6.029963
1,-5.108983,-24.517458,-51.254822,46.067501,34.068001,-4.859437,-7.432847,-5.417407,9.089491,112.578850,6.604251,83.411148,-75.445328,49.368427,-55.203377,32.100838,100.806465,-52.073933,31.105005,-24.350769
2,-17.664959,-58.136356,58.847046,4.410198,17.030003,-22.393478,4.508452,-76.769318,59.960106,-28.388113,-24.178768,0.585547,28.450224,1.534217,-70.966698,-98.535828,34.917065,58.586575,-22.636356,-3.307573
3,-61.450787,0.679483,-115.195053,-31.750463,-50.034134,-45.291813,-14.321526,-1.068523,5.668313,-48.406532,-42.082401,-26.627657,-111.540253,79.471275,-22.301468,64.251030,-30.138842,-24.932745,-1.603695,-63.389698
4,-59.227547,-27.202875,-72.680748,-19.890205,-61.432640,-4.831718,12.166831,-92.008347,-108.261009,21.872299,-40.369015,-4.405680,31.145752,44.442421,-2.133525,-19.705023,-92.342270,-46.569813,36.113625,-50.268055
5,-58.591118,-10.637625,8.346673,3.060915,-28.233707,-9.445143,-52.667435,-33.535179,17.989597,-75.541550,-68.473328,-17.279650,-74.419617,-28.167168,-44.947014,-5.574422,-39.046482,-65.727913,6.754006,1.730729
6,1.267496,-56.109524,62.838333,22.193981,10.523458,40.501331,-52.069321,-13.859521,11.106171,-10.817943,-23.291618,-11.020494,69.058304,56.242405,-40.518082,33.776398,-33.944958,-34.573395,9.099236,5.823215
7,-66.513847,-43.445129,9.385506,-16.441231,-45.394066,74.197762,5.645154,49.014805,1.544935,-57.553654,42.121380,-62.152683,-5.776394,43.250656,-8.970359,-45.600391,62.753475,11.401491,24.656841,66.071091
8,33.519897,-32.305653,25.439604,4.693216,27.843260,3.941711,35.326981,-76.736862,48.316822,62.358253,55.600113,33.886063,-23.428005,-21.204414,30.793598,42.582546,-48.818474,-25.762274,39.644745,-0.458862
9,-6.596425,-66.677750,-10.059715,16.263075,97.170631,-32.395073,30.970346,-17.792728,27.899918,-8.067231,84.912186,46.203476,17.604141,-47.871510,-45.282330,-7.009354,-24.595947,-16.297499,-74.241791,2.914438
10,7.834813,-134.773697,-80.575890,-132.475372,-5.872498,-92.431221,-92.161621,-110.209755,-24.274908,-113.781548,50.863007,-71.100487,0.304659,-37.961338,-7.677509,-69.384857,-75.569397,-50.022797,-74.998474,0.222643
11,0.741811,-6.282294,49.860538,-6.536366,-1.315460,10.934900,-29.867001,-17.683516,-23.634251,3.452590,35.076447,-1.144754,10.380709,5.151154,40.224571,-74.288399,12.917351,0.686519,13.276242,0.672696
12,78.803070,127.368561,96.240768,19.580919,48.970505,15.281539,-21.602722,30.329327,90.993393,-44.686638,10.718365,30.757111,50.634644,110.109917,-44.659126,41.666576,40.724983,86.297905,-28.668125,-31.085178
13,-65.311104,30.941214,-6.300945,93.286522,-12.755867,121.791916,-64.252686,107.884239,-12.349679,114.036362,37.377831,112.545624,71.837494,112.221664,12.975643,185.950562,95.212013,47.753567,79.890305,-57.996834
14,38.447628,1.166321,45.884125,-6.839557,60.584591,-47.960419,-43.799690,-5.159228,76.784279,-39.603573,58.627239,-90.000000,122.750908,47.475410,91.105827,-4.067895,8.141908,50.515957,-4.251597,-39.192696
15,27.416750,-19.754122,-18.927486,-19.760242,-32.027138,-45.013000,-36.329746,46.471489,-77.722786,-18.624365,-28.719845,20.358641,-35.609520,26.116310,-94.803329,-32.283031,49.619610,-62.501320,-102.930885,-42.660290
16,-0.013727,34.187206,50.260590,52.952335,51.399220,130.701584,41.268127,54.620243,-9.741596,144.951859,48.145359,80.307983,-52.809891,91.305664,-1.435223,20.019680,125.279228,41.214100,54.164658,38.836987
17,96.404884,8.578751,19.204586,21.012581,52.718365,54.352737,-11.310840,32.567181,30.297319,75.319168,-20.986813,77.884178,-12.199147,59.693775,64.278023,85.986465,53.478809,46.490829,54.415131,8.816618
18,-108.063484,-43.402981,-72.655746,87.846733,-45.936569,16.887468,-60.871777,3.601049,-59.638298,85.835686,-53.928352,35.082119,17.964144,-21.349159,-59.936790,42.569241,49.453297,-62.296165,76.524139,-55.595528
19,15.091688,-104.473434,12.629802,-86.265602,95.612480,-83.774269,-12.693706,-16.011763,-9.649270,-84.433563,87.561188,-120.390686,12.832597,-98.280533,4.463120,-54.241886,-74.181519,9.873196,-145.268982,-36.851883
20,-49.336464,60.209175,-50.184170,-24.897978,-34.877766,-40.231918,-84.504387,-1.056569,-47.604481,-7.351976,-39.955551,12.063977,45.329659,0.930965,-8.055393,7.233812,-6.355717,37.887463,20.519451,-24.481932
21,77.505592,-19.924458,41.477718,-147.850037,74.146309,-1.913490,36.609703,-24.660362,-12.182456,-35.848457,50.141594,-84.176384,7.667219,-51.970730,41.109642,-57.139797,31.134237,44.601192,-118.234245,-8.266150
22,-53.514252,8.171251,-36.993233,12.118660,4.202611,90.929619,-43.213486,-5.616403,-32.827717,-40.932049,15.680969,1.575648,-58.915112,15.606487,35.297092,27.025827,-67.123322,-51.967804,21.601482,-4.927504
